,offertimes,mnl_rep,mnl_rep_runtime,total_mnl_loss,total_mnl_loss_se,avg_mnl_loss,avg_mnl_loss_se,avg_mnl_limit_runtime
0,20,0.0,0.00014432430267333985,236.18292495670408,3.800958491118653,0.030853419328112877,0.0004965327878665777,0.2584825325012207
1,30,0.0,0.00022491455078125,214.1364088829613,3.8320299338013,0.0284415472018809,0.0005089693098421171,0.24672237873077393
2,40,0.0,0.00027034282684326174,185.77297757824942,3.63491282126148,0.025237464689342404,0.0004938069312948621,0.23792664527893068
3,50,0.0,0.0003273296356201172,155.57069594999447,3.46626371992234,0.02163709262169603,0.00048209509317417794,0.23532335758209227
4,60,0.0,0.00032015800476074217,135.515759714294,3.115895496229798,0.01913523859281192,0.0004399739475049136,0.23778568267822264
