,offertimes,collection_size,indep_rep,indep_rep_runtime,indep_rep_runtime_se,indep_total_loss,indep_total_loss_se,indep_avg_loss,indep_avg_loss_se,indep_limit_runtime,indep_limit_runtime_se
0,20,29,0.03,0.00033668756484985353,1.1639710799938205e-05,0.5464085604000001,0.0746804472256673,7.137930246897453e-05,9.755773641498014e-06,0.36482216119766236,0.026072520185442344
1,30,24,0.05,0.00038191080093383787,6.180347069534634e-06,0.4204891488529761,0.0652686666012598,5.584926933895286e-05,8.668968867214744e-06,0.17660419940948485,0.015507686779460095
2,40,19,0.14,0.00033509254455566407,8.062420625525728e-06,0.2676361057000009,0.05830481969698844,3.635866128243457e-05,7.920774310146507e-06,0.0636289930343628,0.00499262548644692
3,50,15,0.39,0.00020344734191894532,8.030970409617742e-06,0.17577905570000005,0.04378244702807116,2.444771289290682e-05,6.089352855086392e-06,0.02061146020889282,0.0019893900462645206
4,60,13,0.55,0.00015704631805419923,5.625978826409091e-06,0.14025540910000014,0.041081716408116996,1.9804491541937326e-05,5.80086365548108e-06,0.008363065719604492,0.0010207347528122474
