,offertimes,mdm_etp_lb,mdm_etp_ub,rum_ci,mem,mnl,mccm,lcmnl
0,20,0.2580077518215296,0.24093152554200958,0.3063665160876206,0.2528082277142103,0.3074540616092102,0.23179301111120668,0.23433309625402898
1,30,0.18547236990991406,0.13974262055650738,0.20270175134911883,0.19409276132818554,0.23040833318263468,0.20161349161204467,0.19628550634216474
2,40,0.12422560122615628,0.0859767410408187,0.12003332870498926,0.10280077820717118,0.12550697191789786,0.0812403840463596,0.10233279044372824
3,50,0.13050670480860363,0.08079603950689664,0.12598412598418898,0.11327841806805036,0.13038404810405296,0.09486832980505137,0.11784735890124988
4,60,0.0565685424949238,0.04907137658554118,0.06349803146555018,0.0565685424949238,0.06203224967708329,0.054332310828824504,0.058583274063507246
