,offertimes,mdm_percent,mdm_se,mnl_percent,mnl_se,lcmnl_percent,lcmnl_se
0,20,0.9835078045206386,0.0012262363663266694,0.9325944430943557,0.002839941484317492,0.9919612876093515,0.000531502503164293
1,30,0.9860195063135124,0.002292105006358821,0.9405455072004314,0.0026083746437819827,0.995263985488523,0.0003242645209268414
2,40,0.9915165554556661,0.0013150813016087684,0.9485929592404934,0.002433032949347742,0.9958238409188611,0.0013980858706361243
3,50,0.9959540994035794,0.000784368237538764,0.9572260805582394,0.002231018139398399,0.9959815848518815,0.001930881464936043
4,60,0.9968821029495644,0.0007636208474361941,0.9619814451688684,0.002123084840838976,0.9977826956986009,0.0011814739983802421
