,offertimes,collection_size,pos_rep,pos_rep_runtime,pos_rep_runtime_se,pos_total_loss,pos_total_loss_se,pos_avg_loss,pos_avg_loss_se,pos_limit_runtime,pos_limit_runtime_se
0,20,29,0.1,0.0003123140335083008,1.090089157097816e-05,4.20614515556942,0.6695149418803544,0.0005494637695061293,8.746112891970669e-05,0.6429768133163453,0.07048013685473352
1,30,24,0.15,0.00037737846374511717,1.1572706055175833e-05,3.2801377792,0.5957309832428097,0.00043566712434586264,7.91248483520799e-05,0.2409942603111267,0.02706349211944767
2,40,19,0.2,0.0003235793113708496,9.084416597010586e-06,2.2018530563000005,0.45398030964542013,0.0002991241755603859,6.167372770621112e-05,0.08403198719024658,0.007428897613188372
3,50,15,0.3,0.0002177762985229492,9.193090340419061e-06,1.2378213469740593,0.40586594881771443,0.00017215874088651728,5.644867160190742e-05,0.028430402278900146,0.0027580106753498043
4,60,13,0.48,0.0001676177978515625,5.4164282272652835e-06,0.8717668032,0.36279744501825684,0.00012309613148828015,5.122810576366237e-05,0.01193061590194702,0.0017046608541517305
