,offertimes,total_lcmnl_loss,total_lcmnl_loss_se,avg_lcmnl_loss,avg_lcmnl_loss_se,total_lcmnl_kl,total_lcmnl_kl_se,avg_lcmnl_kl,avg_lcmnl_kl_se,avg_lcmnl_limit_runtime
0,20,67.73378663148337,2.3136258269955663,0.008848306548854783,0.00030223720796806867,-4764.018861835057,26.975816905337243,-0.6223408049425286,0.003523947342304016,2061.637942314148
1,30,55.069060383476426,2.0763801523732908,0.007314259580751285,0.00027578432094212926,-4672.233322984403,26.390425968764536,-0.6205649253532212,0.00350517013796846,2024.7461831569672
2,40,42.19424362280672,2.1793980139160203,0.005732134713056204,0.00029607363319060183,-4552.449552125231,25.37411597993279,-0.618455312067006,0.00344710174975313,2145.736396551132
3,50,33.06353117945885,3.5722158299519595,0.004598543974889965,0.0004968311307304533,-4430.0703224608105,24.8735168376539,-0.6161432993686802,0.003459459921787746,2032.442390203476
4,60,26.377372777178294,3.1557396579059733,0.003724565486752089,0.0004456000646577201,-4351.286537541786,24.318494889755215,-0.6144149304633982,0.003433845649499465,1663.4104368686676
