,offertimes,mdm_ci_lb,mdm_ci_ub,mdm_etp_lb,mdm_etp_ub,rum_ci,mem,mnl,mccm,lcmnl
0,20,0.25067451842308297,0.21662414066682448,0.2058348852842977,0.19450449866262734,0.26301221180279943,0.2020692950450414,0.2003197444087826,0.2083266665599966,0.21732924331529802
1,30,0.1878084130170957,0.1125699782357623,0.13564659966250536,0.1174734012447073,0.20830746506066458,0.12211470017978998,0.1504393565527319,0.1337460279784039,0.12486793023030372
2,40,0.11760952342391325,0.08104319835741923,0.10954451150103323,0.07944809626416481,0.116619037896906,0.0669925368977769,0.10491901638883201,0.0759473501841901,0.07610519036176178
3,50,0.1337460279784039,0.058583274063507246,0.11963277142990543,0.07071067811865475,0.1385929291125633,0.06203224967708329,0.12470765814495917,0.09138927727036689,0.12
4,60,0.054332310828824504,0.03358571124749333,0.05184592558726287,0.03836665218650175,0.054332310828824504,0.03358571124749333,0.0565685424949238,0.04595650117230422,0.04907137658554118
