,offertimes,total_lcmnl_kl_loss,total_lcmnl_kl_loss_se,avg_lcmnl_kl_loss,avg_lcmnl_kl_loss_se,total_mnl_kl_loss,total_mnl_kl_loss_se,avg_mnl_kl_loss,avg_mnl_kl_loss_se
0,20,-4743.609982241111,27.19809983628423,-0.6196747200837507,0.003552984955752349,-4605.057400757776,28.888170917880572,-0.6015751013400099,0.0037737649794749293
1,30,-4659.7850134902765,26.733392646977258,-0.6189115438292304,0.0035507228910847716,-4535.7794747283615,28.449652084400608,-0.6024411574881605,0.0037786760638066955
2,40,-4544.145569302456,25.72697220695219,-0.6173272068064742,0.0034950376588713744,-4438.862154032939,27.37464541078495,-0.6030243382737317,0.003718875887893622
3,50,-4423.253103604808,24.691642584243844,-0.6151951465375256,0.0034341644762508846,-4338.051373444355,26.45400506226525,-0.6033451145263359,0.003679277477366518
4,60,-4346.319914968062,24.401936513859752,-0.6137136282078596,0.0034456278613188007,-4272.879329279105,26.03180129941445,-0.6033435935158298,0.00367576974010371
